Epoch 	 Generation 	 Fitness 	 Cue_Plas 	 Obs_Plas 	 Utility
1	1	2.768589e-01	2.019993e-04	2.019993e-04	-1.600698e-04
1	2	2.830673e-01	2.135431e-04	2.135431e-04	-4.746253e-04
1	3	2.840433e-01	2.013493e-04	2.013493e-04	-7.788725e-04
1	4	2.908227e-01	1.739425e-04	1.739425e-04	-2.140977e-05
1	5	2.922537e-01	1.517353e-04	1.517353e-04	5.597011e-04
1	6	2.923325e-01	1.573269e-04	1.573269e-04	1.876323e-04
1	7	2.936385e-01	1.286016e-04	1.286016e-04	3.006768e-04
1	8	2.972680e-01	1.026655e-04	1.026655e-04	4.318251e-04
1	9	3.030066e-01	1.052837e-04	1.052837e-04	4.667617e-04
1	10	3.062430e-01	1.129445e-04	1.129445e-04	6.546865e-04
1	11	3.072599e-01	8.922564e-05	8.922564e-05	4.813661e-04
1	12	3.122253e-01	9.736917e-05	9.736917e-05	9.014490e-04
1	13	3.151178e-01	1.008743e-04	1.008743e-04	1.103325e-03
1	14	3.198546e-01	8.857024e-05	8.857024e-05	7.985975e-04
1	15	3.196359e-01	8.372540e-05	8.372540e-05	9.769175e-04
1	16	3.241366e-01	8.240095e-05	8.240095e-05	1.227516e-03
1	17	3.341857e-01	6.776734e-05	6.776734e-05	9.317378e-04
1	18	3.379395e-01	7.137165e-05	7.137165e-05	1.215398e-03
1	19	3.374419e-01	7.866219e-05	7.866219e-05	1.324943e-03
1	20	3.423065e-01	8.102241e-05	8.102241e-05	1.608059e-03
1	21	3.455004e-01	8.210714e-05	8.210714e-05	1.467020e-03
1	22	3.524120e-01	8.667917e-05	8.667917e-05	1.199054e-03
1	23	3.564918e-01	1.012610e-04	1.012610e-04	1.745160e-03
1	24	3.563041e-01	1.137412e-04	1.137412e-04	1.926711e-03
1	25	3.589082e-01	1.109187e-04	1.109187e-04	1.930542e-03
1	26	3.620449e-01	1.003283e-04	1.003283e-04	2.020209e-03
1	27	3.701496e-01	1.244388e-04	1.244388e-04	2.152812e-03
1	28	3.703036e-01	1.384579e-04	1.384579e-04	1.755559e-03
1	29	3.736790e-01	1.416491e-04	1.416491e-04	1.691318e-03
1	30	3.739646e-01	1.627355e-04	1.627355e-04	1.590881e-03
1	31	3.764074e-01	1.812780e-04	1.812780e-04	1.701028e-03
1	32	3.822235e-01	1.838931e-04	1.838931e-04	1.512647e-03
1	33	3.850752e-01	1.665362e-04	1.665362e-04	1.557089e-03
1	34	3.852472e-01	1.998950e-04	1.998950e-04	1.684736e-03
1	35	3.882007e-01	1.794611e-04	1.794611e-04	1.408205e-03
1	36	3.934846e-01	2.022464e-04	2.022464e-04	1.694590e-03
1	37	3.974436e-01	2.091382e-04	2.091382e-04	1.179112e-03
1	38	4.013005e-01	2.106348e-04	2.106348e-04	8.083591e-04
1	39	4.021971e-01	1.970943e-04	1.970943e-04	6.219078e-04
1	40	4.089168e-01	2.142834e-04	2.142834e-04	1.286856e-03
1	41	4.119316e-01	2.369471e-04	2.369471e-04	1.791362e-03
1	42	4.136180e-01	2.359180e-04	2.359180e-04	1.796135e-03
1	43	4.228062e-01	2.658613e-04	2.658613e-04	1.660857e-03
1	44	4.221673e-01	2.573669e-04	2.573669e-04	2.018238e-03
1	45	4.232904e-01	2.646523e-04	2.646523e-04	2.328080e-03
1	46	4.299767e-01	2.790030e-04	2.790030e-04	2.889888e-03
1	47	4.355602e-01	2.738270e-04	2.738270e-04	2.600719e-03
1	48	4.386299e-01	2.584734e-04	2.584734e-04	2.440654e-03
1	49	4.373204e-01	2.303124e-04	2.303124e-04	1.541219e-03
1	50	4.422919e-01	2.231433e-04	2.231433e-04	1.148835e-03
1	51	4.452143e-01	2.272131e-04	2.272131e-04	7.986310e-04
1	52	4.450451e-01	2.253603e-04	2.253603e-04	7.329535e-04
1	53	4.454560e-01	2.447967e-04	2.447967e-04	1.726003e-03
1	54	4.449056e-01	2.286026e-04	2.286026e-04	1.817273e-03
1	55	4.429925e-01	2.624181e-04	2.624181e-04	2.343632e-03
1	56	4.464978e-01	2.593924e-04	2.593924e-04	1.768249e-03
1	57	4.509279e-01	2.045417e-04	2.045417e-04	4.270953e-04
