Epoch 	 Generation 	 Fitness 	 Cue_Plas 	 Obs_Plas 	 Utility
1	1	0.072803	1.933823e-04	1.933823e-04	-4.520319e-05
1	2	0.075578	1.927584e-04	1.927584e-04	-3.188029e-05
1	3	0.077741	1.884223e-04	1.884223e-04	1.041048e-04
1	4	0.080233	1.895322e-04	1.895322e-04	9.801661e-05
1	5	0.082119	1.834803e-04	1.834803e-04	1.424892e-04
1	6	0.083965	1.842929e-04	1.842929e-04	8.790684e-05
1	7	0.085868	1.962609e-04	1.962609e-04	4.815566e-05
1	8	0.088512	2.114631e-04	2.114631e-04	1.369708e-04
1	9	0.090580	2.141580e-04	2.141580e-04	1.371952e-04
1	10	0.092313	2.108229e-04	2.108229e-04	1.759173e-04
1	11	0.093876	2.127878e-04	2.127878e-04	2.469776e-04
1	12	0.096525	2.097387e-04	2.097387e-04	3.740644e-04
1	13	0.099460	2.187036e-04	2.187036e-04	3.993837e-04
1	14	0.101598	2.113212e-04	2.113212e-04	4.487015e-04
1	15	0.104931	1.976911e-04	1.976911e-04	4.234648e-04
1	16	0.107327	1.999082e-04	1.999082e-04	4.584753e-04
1	17	0.109982	2.037561e-04	2.037561e-04	4.812889e-04
1	18	0.112062	2.050941e-04	2.050941e-04	4.322861e-04
1	19	0.114206	2.028699e-04	2.028699e-04	5.518424e-04
1	20	0.116291	2.091658e-04	2.091658e-04	5.724202e-04
1	21	0.119053	1.945587e-04	1.945587e-04	5.458107e-04
1	22	0.121403	1.939454e-04	1.939454e-04	5.503926e-04
1	23	0.123141	1.988218e-04	1.988218e-04	4.875199e-04
1	24	0.125193	2.021559e-04	2.021559e-04	5.978485e-04
1	25	0.127261	2.076819e-04	2.076819e-04	4.128021e-04
1	26	0.130288	2.187445e-04	2.187445e-04	4.638386e-04
1	27	0.133427	2.144340e-04	2.144340e-04	4.447776e-04
1	28	0.136537	2.198682e-04	2.198682e-04	6.067609e-04
1	29	0.138753	2.209486e-04	2.209486e-04	5.450076e-04
1	30	0.142244	2.114282e-04	2.114282e-04	5.299214e-04
1	31	0.144374	2.137876e-04	2.137876e-04	6.221598e-04
1	32	0.146580	2.129455e-04	2.129455e-04	7.175026e-04
1	33	0.149400	2.086199e-04	2.086199e-04	7.469868e-04
1	34	0.152528	2.137910e-04	2.137910e-04	1.000710e-03
1	35	0.155073	2.152917e-04	2.152917e-04	9.898272e-04
1	36	0.157289	2.205949e-04	2.205949e-04	1.035052e-03
1	37	0.160491	2.233296e-04	2.233296e-04	1.110275e-03
1	38	0.162513	2.258663e-04	2.258663e-04	1.085328e-03
1	39	0.165169	2.131952e-04	2.131952e-04	1.224297e-03
1	40	0.169522	2.173365e-04	2.173365e-04	1.172188e-03
1	41	0.172696	2.128710e-04	2.128710e-04	1.069932e-03
1	42	0.175801	2.047511e-04	2.047511e-04	1.130938e-03
1	43	0.179907	2.058511e-04	2.058511e-04	1.303920e-03
1	44	0.183666	2.232878e-04	2.232878e-04	1.338519e-03
1	45	0.186789	2.065190e-04	2.065190e-04	1.303930e-03
1	46	0.191590	2.033528e-04	2.033528e-04	1.303334e-03
1	47	0.195134	2.134219e-04	2.134219e-04	1.154950e-03
1	48	0.200373	2.122688e-04	2.122688e-04	1.329130e-03
1	49	0.202292	2.109456e-04	2.109456e-04	1.257778e-03
1	50	0.207290	2.093959e-04	2.093959e-04	1.237747e-03
1	51	0.210005	2.048709e-04	2.048709e-04	1.331111e-03
1	52	0.214103	1.977452e-04	1.977452e-04	1.263708e-03
1	53	0.218669	1.851869e-04	1.851869e-04	1.247583e-03
1	54	0.223063	1.870380e-04	1.870380e-04	1.368326e-03
1	55	0.225702	1.807769e-04	1.807769e-04	1.395709e-03
1	56	0.229270	1.836460e-04	1.836460e-04	1.567914e-03
1	57	0.233015	1.895992e-04	1.895992e-04	1.800616e-03
1	58	0.235898	1.957729e-04	1.957729e-04	1.865735e-03
1	59	0.239272	2.069309e-04	2.069309e-04	1.813136e-03
1	60	0.243350	1.992963e-04	1.992963e-04	1.703051e-03
1	61	0.246195	1.954138e-04	1.954138e-04	1.931587e-03
1	62	0.248586	2.074165e-04	2.074165e-04	1.737203e-03
1	63	0.254930	2.133145e-04	2.133145e-04	1.801499e-03
1	64	0.259983	2.114426e-04	2.114426e-04	1.897697e-03
1	65	0.262876	2.070592e-04	2.070592e-04	2.037043e-03
1	66	0.267682	2.063736e-04	2.063736e-04	2.132284e-03
1	67	0.270781	2.052087e-04	2.052087e-04	2.304026e-03
1	68	0.274340	2.051625e-04	2.051625e-04	2.352271e-03
1	69	0.277295	2.216206e-04	2.216206e-04	2.549850e-03
1	70	0.282341	2.239791e-04	2.239791e-04	2.558776e-03
1	71	0.285971	2.259305e-04	2.259305e-04	2.515197e-03
1	72	0.290539	2.243015e-04	2.243015e-04	2.385831e-03
1	73	0.297570	2.235938e-04	2.235938e-04	2.397168e-03
1	74	0.300284	2.113806e-04	2.113806e-04	2.241671e-03
1	75	0.305213	2.105050e-04	2.105050e-04	2.343920e-03
1	76	0.312133	2.121928e-04	2.121928e-04	2.401217e-03
1	77	0.316371	2.015711e-04	2.015711e-04	2.480313e-03
1	78	0.319465	2.152189e-04	2.152189e-04	2.701354e-03
1	79	0.325514	2.272959e-04	2.272959e-04	2.879808e-03
1	80	0.329836	2.314945e-04	2.314945e-04	3.134219e-03
1	81	0.333655	2.340513e-04	2.340513e-04	3.090586e-03
1	82	0.340275	2.444720e-04	2.444720e-04	3.456699e-03
